ST_NM,DISTRICT,pc_name
Jammu and Kashmir,Kargil,Srinagar
Jammu and Kashmir,Kargil,Mandi
Jammu and Kashmir,Kargil,Baramulla
Jammu and Kashmir,Kargil,Ladakh
Assam,Karimganj,Karimganj
Assam,Karimganj,Mizoram
Assam,Karimganj,Tripura East
Haryana,Karnal,Hissar
Haryana,Karnal,Karnal
Haryana,Karnal,Kurukshetra
Haryana,Karnal,Sonepat
Haryana,Karnal,Saharanpur
Haryana,Karnal,Kairana
Tamil Nadu,Karur,Palani
Tamil Nadu,Karur,Tiruchengode
Tamil Nadu,Karur,Karur
Tamil Nadu,Karur,Tiruchirappalli
Jammu and Kashmir,Kathua,Udhampur
Jammu and Kashmir,Kathua,Kangra
Jammu and Kashmir,Kathua,Jammu
Jammu and Kashmir,Kathua,Gurdaspur
Uttar Pradesh,Kaushambi,Chail
Uttar Pradesh,Kaushambi,Pratapgarh
Uttar Pradesh,Kaushambi,Banda
Uttar Pradesh,Kaushambi,Allahabad
Uttar Pradesh,Kaushambi,Phulpur
Uttar Pradesh,Kaushambi,Fatehpur
Andhra Pradesh,Khammam,Khammam
Andhra Pradesh,Khammam,Vijayawada
Andhra Pradesh,Khammam,Bhadrachalam
Andhra Pradesh,Khammam,Warangal
Andhra Pradesh,Khammam,Miryalguda
Andhra Pradesh,Khammam,Eluru
Andhra Pradesh,Khammam,Nowrangpur
Andhra Pradesh,Khammam,Bastar
Uttar Pradesh,Kheri,Pilibhit
Uttar Pradesh,Kheri,Kheri
Uttar Pradesh,Kheri,Bahraich
Uttar Pradesh,Kheri,Shahjahanpur
Uttar Pradesh,Kheri,Sitapur
Uttar Pradesh,Kheri,Kaiserganj
Uttar Pradesh,Kheri,Shahabad
Uttar Pradesh,Kheri,Misrikh
Orissa,Khordha,Aska
Orissa,Khordha,Cuttack
Orissa,Khordha,Jagatsinghpur
Orissa,Khordha,Bhubaneswar
Orissa,Khordha,Puri
Himachal Pradesh,Kinnaur,Simla
Himachal Pradesh,Kinnaur,Mandi
Himachal Pradesh,Kinnaur,Tehri Garhwal
Bihar,Kishanganj,Kishanganj
Bihar,Kishanganj,Darjeeling
Bihar,Kishanganj,Raiganj
West Bengal,Koch Bihar,Kokrajhar
West Bengal,Koch Bihar,Dhubri
West Bengal,Koch Bihar,Jalpaiguri
West Bengal,Koch Bihar,Cooch Behar
West Bengal,Koch Bihar,Alipurduars
Karnataka,Kodagu,Hassan
Karnataka,Kodagu,Mangalore
Karnataka,Kodagu,Mysore
Karnataka,Kodagu,Kasaragod
Karnataka,Kodagu,Cannanore
Karnataka,Kolar,Rajampet
Karnataka,Kolar,Hindupur
Karnataka,Kolar,Chittoor
Karnataka,Kolar,Kolar
Karnataka,Kolar,Chikballapur
Karnataka,Kolar,Bangalore North
Karnataka,Kolar,Bangalore South
Karnataka,Kolar,Krishnagiri
Mizoram,Kolasib,Silchar
Mizoram,Kolasib,Karimganj
Mizoram,Kolasib,Mizoram
Andhra Pradesh,Medak,Siddipet
Andhra Pradesh,Medak,Nizamabad
Andhra Pradesh,Medak,Karimnagar
Andhra Pradesh,Medak,Nalgonda
Andhra Pradesh,Medak,Medak
Andhra Pradesh,Medak,Peddapalli
Andhra Pradesh,Medak,Hanamkonda
Andhra Pradesh,Medak,Hyderabad
Andhra Pradesh,Medak,Bidar
Andhra Pradesh,Medak,Gulbarga
Uttar Pradesh,Mirzapur,Rewa
Uttar Pradesh,Mirzapur,Sidhi
Uttar Pradesh,Mirzapur,Varanasi
Uttar Pradesh,Mirzapur,Chandauli
Uttar Pradesh,Mirzapur,Allahabad
Uttar Pradesh,Mirzapur,Mirzapur
Uttar Pradesh,Mirzapur,Robertsganj
Uttar Pradesh,Moradabad,Sambhal
Uttar Pradesh,Moradabad,Rampur
Uttar Pradesh,Moradabad,Amroha
Uttar Pradesh,Moradabad,Moradabad
Uttar Pradesh,Moradabad,Bijnor
Uttar Pradesh,Moradabad,Bareilly
Uttar Pradesh,Moradabad,Nainital
West Bengal,Murshidabad,Krishnagar
West Bengal,Murshidabad,Birbhum
West Bengal,Murshidabad,Jangipur
West Bengal,Murshidabad,Murshidabad
West Bengal,Murshidabad,Berhampore
West Bengal,Murshidabad,Bolpur
West Bengal,Murshidabad,Malda
West Bengal,Murshidabad,Rajmahal
Uttar Pradesh,Muzaffarnagar,Hardwar
Uttar Pradesh,Muzaffarnagar,Karnal
Uttar Pradesh,Muzaffarnagar,Meerut
Uttar Pradesh,Muzaffarnagar,Baghpat
Uttar Pradesh,Muzaffarnagar,Muzaffarnagar
Uttar Pradesh,Muzaffarnagar,Saharanpur
Uttar Pradesh,Muzaffarnagar,Kairana
Uttar Pradesh,Muzaffarnagar,Bijnor
Bihar,Muzaffarpur,Sitamarhi
Bihar,Muzaffarpur,Gopalganj
Bihar,Muzaffarpur,Sheohar
Bihar,Muzaffarpur,Motihari
Bihar,Muzaffarpur,Madhubani
Bihar,Muzaffarpur,Darbhanga
Bihar,Muzaffarpur,Maharajganj
Bihar,Muzaffarpur,Chapra
Bihar,Muzaffarpur,Muzaffarpur
Bihar,Muzaffarpur,Hajipur
Bihar,Muzaffarpur,Vaishali
Bihar,Muzaffarpur,Samastipur
Mizoram,Mamit,Karimganj
Mizoram,Mamit,Mizoram
Mizoram,Mamit,Tripura East
Madhya Pradesh,Mandsaur,Mandsaur
Madhya Pradesh,Mandsaur,Jhalawar
Madhya Pradesh,Mandsaur,Chittorgarh
Karnataka,Mandya,Hassan
Karnataka,Mandya,Tumkur
Karnataka,Mandya,Mandya
Karnataka,Mandya,Mysore
Karnataka,Mandya,Chamarajanagar
Karnataka,Mandya,Kanakapura
Orissa,Mayurbhanj,Keonjhar
Orissa,Mayurbhanj,Mayurbhanj
Orissa,Mayurbhanj,Bhadrak
Orissa,Mayurbhanj,Balasore
Orissa,Mayurbhanj,Jhargram
Orissa,Mayurbhanj,Singhbhum
Orissa,Mayurbhanj,Jamshedpur
Jharkhand,Purbi Singhbhum,Mayurbhanj
Jharkhand,Purbi Singhbhum,Purulia
Jharkhand,Purbi Singhbhum,Jhargram
Jharkhand,Purbi Singhbhum,Singhbhum
Jharkhand,Purbi Singhbhum,Jamshedpur
Jharkhand,Purbi Singhbhum,Ranchi
Orissa,Puri,Berhampur
Orissa,Puri,Aska
Orissa,Puri,Jagatsinghpur
Orissa,Puri,Bhubaneswar
Orissa,Puri,Puri
Bihar,Purnia,Kishanganj
Bihar,Purnia,Purnea
Bihar,Purnia,Katihar
Bihar,Purnia,Khagaria
Bihar,Purnia,Madhepura
Bihar,Purnia,Araria
West Bengal,Puruliya,Purulia
West Bengal,Puruliya,Bankura
West Bengal,Puruliya,Jhargram
West Bengal,Puruliya,Vishnupur
West Bengal,Puruliya,Durgapur
West Bengal,Puruliya,Jamshedpur
West Bengal,Puruliya,Ranchi
West Bengal,Puruliya,Hazaribagh
West Bengal,Puruliya,Giridih
West Bengal,Puruliya,Dhanbad
Uttar Pradesh,Rae Bareli,Unnao
Uttar Pradesh,Rae Bareli,Rae Bareli
Uttar Pradesh,Rae Bareli,Mohanlalganj
Uttar Pradesh,Rae Bareli,Bara Banki
Uttar Pradesh,Rae Bareli,Chail
Uttar Pradesh,Rae Bareli,Pratapgarh
Uttar Pradesh,Rae Bareli,Amethi
Uttar Pradesh,Rae Bareli,Fatehpur
Madhya Pradesh,Tikamgarh,Damoh
Madhya Pradesh,Tikamgarh,Khajuraho
Madhya Pradesh,Tikamgarh,Jhansi
Maharashtra,Kolhapur,Chikkodi
Maharashtra,Kolhapur,Belgaum
Maharashtra,Kolhapur,Rajapur
Maharashtra,Kolhapur,Karad
Maharashtra,Kolhapur,Kolhapur
Maharashtra,Kolhapur,Sangli
Maharashtra,Kolhapur,Ichalkaranji
West Bengal,Kolkata,Howrah
West Bengal,Kolkata,Jadavpur
West Bengal,Kolkata,Calcutta North East
West Bengal,Kolkata,Calcutta North West
West Bengal,Kolkata,Calcutta South
West Bengal,Kolkata,Dum Dum
Bihar,Khagaria,Rosera
Bihar,Khagaria,Balia
Bihar,Khagaria,Khagaria
Bihar,Khagaria,Monghyr
Bihar,Khagaria,Saharsa
Bihar,Khagaria,Madhepura
Bihar,Khagaria,Bhagalpur
Karnataka,Koppal,Bellary
Karnataka,Koppal,Koppal
Karnataka,Koppal,Bagalkot
Orissa,Koraput,Parvathipuram
Orissa,Koraput,Visakhapatnam
Orissa,Koraput,Bhadrachalam
Orissa,Koraput,Koraput
Orissa,Koraput,Nowrangpur
Orissa,Koraput,Bastar
Chhattisgarh,Koriya,Shahdol
Chhattisgarh,Koriya,Sidhi
Chhattisgarh,Koriya,Bilaspur
Chhattisgarh,Koriya,Janjgir
Chhattisgarh,Koriya,Surguja
Rajasthan,Kota,Morena
Rajasthan,Kota,Mandsaur
Rajasthan,Kota,Sawai Madhopur
Rajasthan,Kota,Tonk
Rajasthan,Kota,Kota
Rajasthan,Kota,Jhalawar
Rajasthan,Kota,Chittorgarh
Andhra Pradesh,Krishna,Khammam
Andhra Pradesh,Krishna,Vijayawada
Andhra Pradesh,Krishna,Narasapur
Andhra Pradesh,Krishna,Guntur
Andhra Pradesh,Krishna,Miryalguda
Andhra Pradesh,Krishna,Tenali
Andhra Pradesh,Krishna,Bapatla
Andhra Pradesh,Krishna,Machilipatnam
Andhra Pradesh,Krishna,Eluru
Andhra Pradesh,Kurnool,Kurnool
Andhra Pradesh,Kurnool,Nandyal
Andhra Pradesh,Kurnool,Mahabubnagar
Andhra Pradesh,Kurnool,Nagarkurnool
Andhra Pradesh,Kurnool,Cuddapah
Andhra Pradesh,Kurnool,Anantapur
Andhra Pradesh,Kurnool,Narasaraopet
Andhra Pradesh,Kurnool,Raichur
Andhra Pradesh,Kurnool,Bellary
Andhra Pradesh,Kurnool,Koppal
Uttar Pradesh,Kushinagar,Bagaha
Uttar Pradesh,Kushinagar,Gopalganj
Uttar Pradesh,Kushinagar,Bettiah
Uttar Pradesh,Kushinagar,Maharajganj
Uttar Pradesh,Kushinagar,Padrauna
Uttar Pradesh,Kushinagar,Gorakhpur
Uttar Pradesh,Kushinagar,Deoria
Jammu and Kashmir,Leh (Ladakh),Mandi
Jammu and Kashmir,Leh (Ladakh),Ladakh
Himachal Pradesh,Lahul & Spiti,Udhampur
Himachal Pradesh,Lahul & Spiti,Kangra
Himachal Pradesh,Lahul & Spiti,Mandi
Himachal Pradesh,Lahul & Spiti,Ladakh
Maharashtra,Latur,Bidar
Maharashtra,Latur,Latur
Maharashtra,Latur,Nanded
Maharashtra,Latur,Beed
Maharashtra,Latur,Osmanabad
Maharashtra,Latur,Parbhani
Arunanchal Pradesh,Lohit,Arunachal East
Arunanchal Pradesh,Lohit,Lakhimpur
Arunanchal Pradesh,Lohit,Dibrugarh
Uttar Pradesh,Lucknow,Rae Bareli
Uttar Pradesh,Lucknow,Mohanlalganj
Uttar Pradesh,Lucknow,Bara Banki
Uttar Pradesh,Lucknow,Hardoi
Uttar Pradesh,Lucknow,Lucknow
Uttar Pradesh,Lucknow,Misrikh
Gujarat,Kheda,Kapadvanj
Gujarat,Kheda,Kaira
Gujarat,Kheda,Godhra
Gujarat,Kheda,Baroda
Assam,Kokrajhar,Kokrajhar
Assam,Kokrajhar,Barpeta
Assam,Kokrajhar,Dhubri
Punjab,Ludhiana,Faridkot
Punjab,Ludhiana,Ferozepur
Punjab,Ludhiana,Jullundur
Punjab,Ludhiana,Hoshiarpur
Punjab,Ludhiana,Ropar
Punjab,Ludhiana,Phillaur
Punjab,Ludhiana,Ludhiana
Punjab,Ludhiana,Sangrur
Kerala,Kollam,Mavelikara
Kerala,Kollam,Quilon
Kerala,Kollam,Chirayinkil
Kerala,Kollam,Alleppey
Kerala,Kollam,Adoor
Kerala,Kollam,Tenkasi
Kerala,Kottayam,Ernakulam
Kerala,Kottayam,Mavelikara
Kerala,Kottayam,Kottayam
Kerala,Kottayam,Muvattupuzha
Kerala,Kottayam,Alleppey
Kerala,Kottayam,Idukki
Kerala,Kozhikode,Cannanore
Kerala,Kozhikode,Calicut
Kerala,Kozhikode,Ponnani
Kerala,Kozhikode,Manjeri
Kerala,Kozhikode,Badagara
Kerala,Kozhikode,Puducherry
Himachal Pradesh,Kullu,Kangra
Himachal Pradesh,Kullu,Mandi
Jammu and Kashmir,Kupwara,Baramulla
Jammu and Kashmir,Kupwara,Ladakh
Mizoram,Lunglei,Mizoram
Bihar,Madhubani,Sitamarhi
Bihar,Madhubani,Madhubani
Bihar,Madhubani,Darbhanga
Bihar,Madhubani,Jhanjharpur
Bihar,Madhubani,Rosera
Bihar,Madhubani,Saharsa
Tamil Nadu,Madurai,Palani
Tamil Nadu,Madurai,Periyakulam
Tamil Nadu,Madurai,Sivakasi
Tamil Nadu,Madurai,Dindigul
Tamil Nadu,Madurai,Karur
Tamil Nadu,Madurai,Sivaganga
Tamil Nadu,Madurai,Ramanathapuram
Tamil Nadu,Madurai,Madurai
Chhattisgarh,Mahasamund,Bolangir
Chhattisgarh,Mahasamund,Sambalpur
Chhattisgarh,Mahasamund,Mahasamund
Chhattisgarh,Mahasamund,Sarangarh
Haryana,Kurukshetra,Karnal
Haryana,Kurukshetra,Ambala
Haryana,Kurukshetra,Kurukshetra
Haryana,Kurukshetra,Patiala
Haryana,Kurukshetra,Saharanpur
Assam,Lakhimpur,Arunachal West
Assam,Lakhimpur,Tezpur
Assam,Lakhimpur,Lakhimpur
Assam,Lakhimpur,Dibrugarh
Bihar,Lakhisarai,Barh
Bihar,Lakhisarai,Balia
Bihar,Lakhisarai,Begusarai
Bihar,Lakhisarai,Monghyr
Uttar Pradesh,Lalitpur,Sagar
Uttar Pradesh,Lalitpur,Damoh
Uttar Pradesh,Lalitpur,Guna
Uttar Pradesh,Lalitpur,Khajuraho
Uttar Pradesh,Lalitpur,Jhansi
Mizoram,Lawngtlai,Mizoram
Jharkhand,Lohardaga,Lohardaga
Jharkhand,Lohardaga,Chatra
Arunanchal Pradesh,Lower Subansiri,Arunachal West
Arunanchal Pradesh,Lower Subansiri,Lakhimpur
Bihar,Madhepura,Purnea
Bihar,Madhepura,Khagaria
Bihar,Madhepura,Saharsa
Bihar,Madhepura,Madhepura
Bihar,Madhepura,Araria
Uttar Pradesh,Mahrajganj,Bagaha
Uttar Pradesh,Mahrajganj,Domariaganj
Uttar Pradesh,Mahrajganj,Maharajganj
Uttar Pradesh,Mahrajganj,Padrauna
Uttar Pradesh,Mahrajganj,Gorakhpur
Andhra Pradesh,Mahbubnagar,Kurnool
Andhra Pradesh,Mahbubnagar,Nandyal
Andhra Pradesh,Mahbubnagar,Mahabubnagar
Andhra Pradesh,Mahbubnagar,Nagarkurnool
Andhra Pradesh,Mahbubnagar,Narasaraopet
Andhra Pradesh,Mahbubnagar,Nalgonda
Andhra Pradesh,Mahbubnagar,Hyderabad
Andhra Pradesh,Mahbubnagar,Raichur
Andhra Pradesh,Mahbubnagar,Gulbarga
Gujarat,Mahesana,Gandhinagar
Gujarat,Mahesana,Patan
Gujarat,Mahesana,Mehsana
Gujarat,Mahesana,Kapadvanj
Gujarat,Mahesana,Sabarkantha
Gujarat,Mahesana,Dhandhuka
Uttar Pradesh,Mahoba,Khajuraho
Uttar Pradesh,Mahoba,Banda
Uttar Pradesh,Mahoba,Jalaun
Uttar Pradesh,Mahoba,Hamirpur
Uttar Pradesh,Mahoba,Jhansi
West Bengal,Maldah,Katihar
West Bengal,Maldah,Balurghat
West Bengal,Maldah,Raiganj
West Bengal,Maldah,Jangipur
West Bengal,Maldah,Malda
West Bengal,Maldah,Rajmahal
Uttar Pradesh,Mainpuri,Etah
Uttar Pradesh,Mainpuri,Etawah
Uttar Pradesh,Mainpuri,Firozabad
Uttar Pradesh,Mainpuri,Kannauj
Uttar Pradesh,Mainpuri,Farrukhabad
Uttar Pradesh,Mainpuri,Mainpuri
Kerala,Malappuram,Calicut
Kerala,Malappuram,Ponnani
Kerala,Malappuram,Manjeri
Kerala,Malappuram,Palghat
Kerala,Malappuram,Ottapalam
Kerala,Malappuram,Nilgiris
Jammu and Kashmir,Punch,Jammu
Jammu and Kashmir,Punch,Baramulla
Maharashtra,Pune,Pandharpur
Maharashtra,Pune,Khed
Maharashtra,Pune,Satara
Maharashtra,Pune,Baramati
Maharashtra,Pune,Pune
Maharashtra,Pune,Ratnagiri
Maharashtra,Pune,Kopargaon
Maharashtra,Pune,Ahmednagar
Maharashtra,Pune,Nashik
Maharashtra,Pune,Osmanabad
Maharashtra,Pune,Thane
Maharashtra,Pune,Kolaba
Bihar,Purba Champaran,Bagaha
Bihar,Purba Champaran,Gopalganj
Bihar,Purba Champaran,Bettiah
Bihar,Purba Champaran,Sheohar
Bihar,Purba Champaran,Motihari
Bihar,Purba Champaran,Muzaffarpur
Bihar,Purba Champaran,Vaishali
Orissa,Malkangiri,Bhadrachalam
Orissa,Malkangiri,Nowrangpur
Orissa,Malkangiri,Bastar
Himachal Pradesh,Mandi,Hamirpur
Himachal Pradesh,Mandi,Kangra
Himachal Pradesh,Mandi,Simla
Himachal Pradesh,Mandi,Mandi
Karnataka,Mysore,Hassan
Karnataka,Mysore,Mandya
Karnataka,Mysore,Mangalore
Karnataka,Mysore,Mysore
Karnataka,Mysore,Chamarajanagar
Karnataka,Mysore,Kanakapura
Karnataka,Mysore,Cannanore
Karnataka,Mysore,Calicut
Orissa,Nabarangapur,Kalahandi
Orissa,Nabarangapur,Koraput
Orissa,Nabarangapur,Nowrangpur
Orissa,Nabarangapur,Kanker
Orissa,Nabarangapur,Mahasamund
Orissa,Nabarangapur,Bastar
West Bengal,Nadia,Krishnagar
West Bengal,Nadia,Katwa
West Bengal,Nadia,Murshidabad
West Bengal,Nadia,Berhampore
West Bengal,Nadia,Nabadwip
West Bengal,Nadia,Barasat
West Bengal,Nadia,Barrackpore
Assam,Nagaon,Autonomous District
Assam,Nagaon,Nowgong
Assam,Nagaon,Tezpur
Assam,Nagaon,Kaliabor
Rajasthan,Nagaur,Bikaner
Rajasthan,Nagaur,Ajmer
Rajasthan,Nagaur,Pali
Rajasthan,Nagaur,Nagaur
Rajasthan,Nagaur,Tonk
Rajasthan,Nagaur,Churu
Rajasthan,Nagaur,Jodhpur
Rajasthan,Nagaur,Sikar
Maharashtra,Nagpur,Chhindwara
Maharashtra,Nagpur,Balaghat
Maharashtra,Nagpur,Seoni
Maharashtra,Nagpur,Nagpur
Maharashtra,Nagpur,Chimur
Maharashtra,Nagpur,Bhandara
Maharashtra,Nagpur,Ramtek
Maharashtra,Nagpur,Wardha
Uttarakhand,Nainital,Bijnor
Uttarakhand,Nainital,Bareilly
Uttarakhand,Nainital,Almora
Uttarakhand,Nainital,Garhwal
Uttarakhand,Nainital,Nainital
Punjab,Mansa,Sirsa
Punjab,Mansa,Bhatinda
Punjab,Mansa,Patiala
Punjab,Mansa,Sangrur
Assam,Marigaon,Mangaldoi
Assam,Marigaon,Gauhati
Assam,Marigaon,Nowgong
Assam,Marigaon,Tezpur
Assam,Marigaon,Kaliabor
Uttar Pradesh,Mathura,Faridabad
Uttar Pradesh,Mathura,Bharatpur
Uttar Pradesh,Mathura,Agra
Uttar Pradesh,Mathura,Aligarh
Uttar Pradesh,Mathura,Mathura
Uttar Pradesh,Mathura,Hathras
Uttar Pradesh,Mau,Azamgarh
Uttar Pradesh,Mau,Lalganj
Uttar Pradesh,Mau,Salempur
Uttar Pradesh,Mau,Saidpur
Uttar Pradesh,Mau,Bansgaon
Uttar Pradesh,Mau,Ghosi
Uttar Pradesh,Mau,Ghazipur
Uttar Pradesh,Meerut,Meerut
Uttar Pradesh,Meerut,Baghpat
Uttar Pradesh,Meerut,Muzaffarnagar
Uttar Pradesh,Meerut,Amroha
Uttar Pradesh,Meerut,Hapur
Uttar Pradesh,Meerut,Kairana
Uttar Pradesh,Meerut,Bijnor
Punjab,Moga,Faridkot
Punjab,Moga,Ferozepur
Punjab,Moga,Bhatinda
Punjab,Moga,Ludhiana
Punjab,Moga,Sangrur
Nagaland,Mokokchung,Jorhat
Nagaland,Mokokchung,Nagaland
Nagaland,Mon,Arunachal East
Nagaland,Mon,Jorhat
Nagaland,Mon,Nagaland
Punjab,Muktsar,Sirsa
Punjab,Muktsar,Faridkot
Punjab,Muktsar,Ferozepur
Punjab,Muktsar,Bhatinda
Maharashtra,Mumbai,Mumbai South Central
Maharashtra,Mumbai,Kolaba
Maharashtra,Mumbai,Mumbai South
Maharashtra,Mumbai,Mumbai North Central
Maharashtra,Mumbai,Mumbai North West
Maharashtra,Mumbai (Suburban),Thane
Maharashtra,Mumbai (Suburban),Mumbai North Central
Maharashtra,Mumbai (Suburban),Mumbai North East
Maharashtra,Mumbai (Suburban),Mumbai North West
Maharashtra,Mumbai (Suburban),Mumbai North
Bihar,Munger,Balia
Bihar,Munger,Khagaria
Bihar,Munger,Monghyr
Bihar,Munger,Bhagalpur
Bihar,Munger,Banka
Bihar,Nalanda,Barh
Bihar,Nalanda,Nalanda
Bihar,Nalanda,Begusarai
Bihar,Nalanda,Jahanabad
Bihar,Nalanda,Nawada
Assam,Nalbari,Kokrajhar
Assam,Nalbari,Barpeta
Assam,Nalbari,Mangaldoi
Assam,Nalbari,Gauhati
Andhra Pradesh,Nalgonda,Khammam
Andhra Pradesh,Nalgonda,Vijayawada
Andhra Pradesh,Nalgonda,Warangal
Andhra Pradesh,Nalgonda,Guntur
Andhra Pradesh,Nalgonda,Miryalguda
Andhra Pradesh,Nalgonda,Nagarkurnool
Andhra Pradesh,Nalgonda,Siddipet
Andhra Pradesh,Nalgonda,Narasaraopet
Andhra Pradesh,Nalgonda,Nalgonda
Andhra Pradesh,Nalgonda,Hanamkonda
Andhra Pradesh,Nalgonda,Hyderabad
Tamil Nadu,Namakkal,Salem
Tamil Nadu,Namakkal,Gobichettipalayam
Tamil Nadu,Namakkal,Rasipuram
Tamil Nadu,Namakkal,Tiruchengode
Tamil Nadu,Namakkal,Karur
Tamil Nadu,Namakkal,Perambalur
Maharashtra,Nanded,Nizamabad
Maharashtra,Nanded,Adilabad
Maharashtra,Nanded,Bidar
Maharashtra,Nanded,Latur
Maharashtra,Nanded,Nanded
Maharashtra,Nanded,Yavatmal
Maharashtra,Nanded,Washim
Maharashtra,Nanded,Hingoli
Maharashtra,Nanded,Parbhani
Maharashtra,Nandurbar,Mandvi
Maharashtra,Nandurbar,Chhota Udaipur
Maharashtra,Nandurbar,Broach
Maharashtra,Nandurbar,Jhabua
Maharashtra,Nandurbar,Khargone
Maharashtra,Nandurbar,Dhule
Maharashtra,Nandurbar,Nandurbar
Gujarat,Narmada,Mandvi
Gujarat,Narmada,Chhota Udaipur
Gujarat,Narmada,Broach
Gujarat,Narmada,Nandurbar
Madhya Pradesh,Narsimhapur,Chhindwara
Madhya Pradesh,Narsimhapur,Bhopal
Madhya Pradesh,Narsimhapur,Sagar
Madhya Pradesh,Narsimhapur,Damoh
Madhya Pradesh,Narsimhapur,Vidisha
Madhya Pradesh,Narsimhapur,Seoni
Maharashtra,Nashik,Bulsar
Maharashtra,Nashik,Kopargaon
Maharashtra,Nashik,Nashik
Maharashtra,Nashik,Dahanu
Maharashtra,Nashik,Malegaon
Maharashtra,Nashik,Aurangabad
Maharashtra,Nashik,Erandol
Maharashtra,Nashik,Dhule
Andhra Pradesh,Nellore,Ongole
Andhra Pradesh,Nellore,Nellore
Andhra Pradesh,Nellore,Cuddapah
Andhra Pradesh,Nellore,Rajampet
Andhra Pradesh,Nellore,Tirupathi
Madhya Pradesh,Neemuch,Mandsaur
Madhya Pradesh,Neemuch,Bhilwara
Madhya Pradesh,Neemuch,Chittorgarh
Sikkim,North,Sikkim
West Bengal,North Twenty Four Parganas,Nabadwip
West Bengal,North Twenty Four Parganas,Hooghly
West Bengal,North Twenty Four Parganas,Barasat
West Bengal,North Twenty Four Parganas,Serampore
West Bengal,North Twenty Four Parganas,Basirhat
West Bengal,North Twenty Four Parganas,Calcutta North East
West Bengal,North Twenty Four Parganas,Barrackpore
West Bengal,North Twenty Four Parganas,Joynagar
West Bengal,North Twenty Four Parganas,Dum Dum
Assam,North Cachar Hills,Silchar
Assam,North Cachar Hills,Autonomous District
Assam,North Cachar Hills,Nowgong
Assam,North Cachar Hills,Outer Manipur
Assam,North Cachar Hills,Shillong
Assam,North Cachar Hills,Nagaland
Gujarat,Navsari,Mandvi
Gujarat,Navsari,Surat
Gujarat,Navsari,Bulsar
Gujarat,Navsari,Malegaon
Bihar,Nawada,Nalanda
Bihar,Nawada,Begusarai
Bihar,Nawada,Monghyr
Bihar,Nawada,Nawada
Bihar,Nawada,Gaya
Bihar,Nawada,Hazaribagh
Bihar,Nawada,Kodarma
Punjab,Nawanshahr,Hoshiarpur
Punjab,Nawanshahr,Ropar
Punjab,Nawanshahr,Phillaur
Punjab,Nawanshahr,Ludhiana
Orissa,Nayagarh,Aska
Orissa,Nayagarh,Cuttack
Orissa,Nayagarh,Phulbani
Orissa,Nayagarh,Bhubaneswar
Orissa,Nayagarh,Puri
Tamil Nadu,The Nilgiris,Chamarajanagar
Tamil Nadu,The Nilgiris,Calicut
Tamil Nadu,The Nilgiris,Manjeri
Tamil Nadu,The Nilgiris,Nilgiris
Tamil Nadu,The Nilgiris,Gobichettipalayam
Andhra Pradesh,Nizamabad,Siddipet
Andhra Pradesh,Nizamabad,Nizamabad
Andhra Pradesh,Nizamabad,Karimnagar
Andhra Pradesh,Nizamabad,Adilabad
Andhra Pradesh,Nizamabad,Medak
Andhra Pradesh,Nizamabad,Bidar
Andhra Pradesh,Nizamabad,Nanded
Andhra Pradesh,Nizamabad,Hingoli
Maharashtra,Osmanabad,Bidar
Maharashtra,Osmanabad,Latur
Maharashtra,Osmanabad,Pandharpur
Maharashtra,Osmanabad,Ahmednagar
Maharashtra,Osmanabad,Beed
Maharashtra,Osmanabad,Osmanabad
Maharashtra,Osmanabad,Solapur
Jharkhand,Pakaur,Birbhum
Jharkhand,Pakaur,Jangipur
Jharkhand,Pakaur,Rajmahal
Kerala,Palakkad,Trichur
Kerala,Palakkad,Ponnani
Kerala,Palakkad,Manjeri
Kerala,Palakkad,Mukundapuram
Kerala,Palakkad,Palghat
Kerala,Palakkad,Ottapalam
Kerala,Palakkad,Pollachi
Kerala,Palakkad,Nilgiris
Kerala,Palakkad,Coimbatore
Rajasthan,Pali,Barmer
Rajasthan,Pali,Ajmer
Rajasthan,Pali,Pali
Rajasthan,Pali,Jalore
Rajasthan,Pali,Nagaur
Rajasthan,Pali,Udaipur
Rajasthan,Pali,Jodhpur
Rajasthan,Pali,Salumber
Goa,North Goa,Mormugao
Goa,North Goa,Panaji
Goa,North Goa,Kanara
Goa,North Goa,Rajapur
Tripura,North Tripura,Karimganj
Tripura,North Tripura,Mizoram
Tripura,North Tripura,Tripura East
Orissa,Nuapada,Kalahandi
Orissa,Nuapada,Bolangir
Orissa,Nuapada,Sambalpur
Orissa,Nuapada,Mahasamund
Haryana,Panchkula,Ambala
Haryana,Panchkula,Simla
Haryana,Panchkula,Ropar
Haryana,Panchkula,Patiala
Haryana,Panchkula,Chandigarh
Gujarat,Panch Mahals,Kapadvanj
Gujarat,Panch Mahals,Kaira
Gujarat,Panch Mahals,Dohad
Gujarat,Panch Mahals,Godhra
Gujarat,Panch Mahals,Chhota Udaipur
Gujarat,Panch Mahals,Baroda
Gujarat,Panch Mahals,Banswara
Haryana,Panipat,Karnal
Haryana,Panipat,Sonepat
Haryana,Panipat,Baghpat
Haryana,Panipat,Kairana
Madhya Pradesh,Panna,Satna
Madhya Pradesh,Panna,Jabalpur
Madhya Pradesh,Panna,Damoh
Madhya Pradesh,Panna,Khajuraho
Madhya Pradesh,Panna,Banda
Maharashtra,Parbhani,Nanded
Maharashtra,Parbhani,Beed
Maharashtra,Parbhani,Buldhana
